        table_name         |         column_name         |          data_type          | is_nullable |                column_default                
---------------------------+-----------------------------+-----------------------------+-------------+----------------------------------------------
 activity_log              | id                          | uuid                        | NO          | uuid_generate_v4()
 activity_log              | user_id                     | uuid                        | NO          | 
 activity_log              | activity_type               | character varying           | NO          | 
 activity_log              | related_id                  | uuid                        | YES         | 
 activity_log              | created_at                  | timestamp with time zone    | NO          | now()
 audit_logs                | id                          | uuid                        | NO          | uuid_generate_v4()
 audit_logs                | user_id                     | character varying           | YES         | 
 audit_logs                | action                      | character varying           | NO          | 
 audit_logs                | resource_type               | character varying           | NO          | 
 audit_logs                | resource_id                 | character varying           | YES         | 
 audit_logs                | ip_address                  | character varying           | YES         | 
 audit_logs                | details                     | jsonb                       | YES         | 
 audit_logs                | created_at                  | timestamp with time zone    | NO          | now()
 candidate_skills          | id                          | integer                     | NO          | nextval('candidate_skills_id_seq'::regclass)
 candidate_skills          | candidate_id                | uuid                        | NO          | 
 candidate_skills          | skill_id                    | uuid                        | NO          | 
 candidate_skills          | proficiency_level           | character varying           | YES         | 
 candidate_skills          | years_of_experience         | numeric                     | YES         | 
 candidate_skills          | created_at                  | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 candidate_skills          | updated_at                  | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 candidate_skills          | years_experience            | numeric                     | YES         | 
 candidates                | id                          | uuid                        | NO          | uuid_generate_v4()
 candidates                | full_name                   | character varying           | YES         | 
 candidates                | email                       | character varying           | YES         | 
 candidates                | phone                       | character varying           | YES         | 
 candidates                | location                    | character varying           | YES         | 
 candidates                | linkedin_url                | text                        | YES         | 
 candidates                | github_url                  | text                        | YES         | 
 candidates                | summary                     | text                        | YES         | 
 candidates                | raw_resume_text             | text                        | YES         | 
 candidates                | file_path                   | text                        | YES         | 
 candidates                | file_type                   | character varying           | YES         | 
 candidates                | created_at                  | timestamp with time zone    | YES         | now()
 candidates                | updated_at                  | timestamp with time zone    | YES         | now()
 candidates                | status                      | character varying           | NO          | 'pending'::character varying
 candidates                | review_status               | character varying           | YES         | 'pending'::character varying
 candidates                | years_of_experience         | character varying           | YES         | 
 candidates                | projects                    | text                        | YES         | 
 candidates                | total_experience_years      | character varying           | YES         | 
 candidates                | total_years_exp             | jsonb                       | YES         | 
 candidates                | match_score                 | numeric                     | YES         | 
 candidates                | current_title               | character varying           | YES         | 
 candidates                | current_company             | character varying           | YES         | 
